City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Radhanpur,IN,78.71,clear sky,23.83,71.6,YASH HOTEL
606,Doha,QA,80.6,clear sky,25.29,51.53,Doha Marriott Hotel
608,Punta Alta,AR,74.75,clear sky,-38.88,-62.07,Center Hotel Punta Alta
609,Roura,GF,82.4,scattered clouds,4.73,-52.33,Amazonie Découverte SARL
610,Bafoulabe,ML,82.29,clear sky,13.81,-10.83,
619,Kudahuvadhoo,MV,82.22,clear sky,2.67,72.89,Kudahuvadhoo Retreat
622,Odienne,CI,75.33,overcast clouds,9.51,-7.57,Oustaz Vame DIAKITE
623,Tomatlan,MX,87.26,broken clouds,19.93,-105.25,Norma franco
626,Daloa,CI,75.45,overcast clouds,6.88,-6.45,Imans Hotel Daloa
627,Aranos,,73.6,broken clouds,-24.13,19.12,Ley-Lia Guest House
628,Houma,US,81.0,scattered clouds,29.6,-90.72,Courtyard by Marriott Houma
632,Hurghada,EG,78.8,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
634,Lakatoro,VU,77.0,light intensity shower rain,-16.1,167.42,Lakatoro Palm Lodge
643,Diapaga,BF,82.11,clear sky,12.07,1.79,
644,Kokopo,PG,79.38,scattered clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
650,Boa Esperanca,BR,75.11,few clouds,-21.09,-45.57,JHS Palace Hotel
652,Luanda,AO,77.0,scattered clouds,-8.84,13.23,EPIC SANA Luanda
655,Tigre,AR,72.0,clear sky,-34.43,-58.58,Puerto Delta Apartamentos
656,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
657,Guantanamo,CU,87.8,broken clouds,20.14,-75.21,Hotel Marti
658,Esmeralda,CU,84.2,broken clouds,21.85,-78.12,campismo las palmas
665,Maningrida,AU,78.8,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
668,San Bartolome De Tirajana,ES,71.6,few clouds,27.92,-15.57,Hotel Viverde Las Tirajanas
672,Mitsamiouli,KM,78.12,clear sky,-11.38,43.28,Foyer ADM
675,Marovoay,MG,78.8,few clouds,-16.1,46.63,
678,Benguela,AO,75.6,overcast clouds,-12.58,13.41,Hotel Praia Morena
680,Diego De Almagro,CL,78.08,clear sky,-26.37,-70.05,hotel luna del desierto
683,Todos Santos,MX,79.0,clear sky,23.45,-110.22,Hotel California Todos Santos
686,Raga,SS,73.24,broken clouds,8.46,25.68,
687,Kieta,PG,81.54,broken clouds,-6.22,155.63,
690,Olinda,BR,82.4,broken clouds,-8.01,-34.86,Hotel 5 Sóis
691,Rundu,,76.03,clear sky,-17.93,19.77,Millennia Estate
692,Surt,LY,72.36,clear sky,31.21,16.59,City Hotel
693,Nioro,GM,82.87,clear sky,13.35,-15.75,
700,San Rafael,AR,78.35,scattered clouds,-34.62,-68.33,Hotel San Rafael
701,Masyaf,SY,77.0,clear sky,35.07,36.34,Hotel restaurants and tourist Misyaf
